LotArea,LotFrontage,TotalBsmtSF,BedroomAbvGr,Fireplaces,PoolArea,GarageCars,WoodDeckSF,ScreenPorch,Expensive,MSZoning,Condition1,Heating,Street,CentralAir,Foundation,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,KitchenQual,FireplaceQu
14215,101.0,1158,4,1,0,3,240,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,Unf,Gd,Gd
7449,57.0,637,3,1,0,1,0,0,0,RM,Norm,GasA,Pave,Y,PConc,TA,TA,TA,TA,No,Unf,Gd,Gd
9742,75.0,1777,3,1,0,2,171,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,Unf,Gd,Gd
4224,44.0,1040,3,1,0,2,100,0,0,RM,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,GLQ,TA,TA
8246,,1060,3,1,0,1,406,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,Gd,TA,TA,Mn,Rec,Gd,TA
14230,110.0,1566,3,1,0,3,0,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,Unf,Gd,Gd
7200,60.0,900,3,0,0,2,222,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,Mn,BLQ,Gd,
11478,98.0,1704,3,1,0,3,0,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,No,GLQ,Gd,Gd
16321,47.0,1484,2,2,0,1,288,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,Gd,BLQ,TA,Gd
6324,60.0,520,1,0,0,1,49,0,0,RM,Feedr,GasA,Pave,N,BrkTil,TA,TA,TA,TA,No,Unf,Fa,
8500,50.0,649,3,0,0,1,0,0,0,C (all),Feedr,GasA,Pave,N,BrkTil,TA,Fa,TA,TA,No,Unf,TA,
8544,,1228,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Unf,Gd,
11049,85.0,1234,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,Unf,Gd,
10552,70.0,1398,4,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,Gd,Gd
7313,60.0,1561,2,1,0,2,203,0,1,RL,Norm,GasA,Pave,Y,PConc,Ex,TA,Ex,TA,No,GLQ,Ex,Gd
13418,108.0,1117,4,1,0,3,113,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,Unf,Gd,Gd
10859,112.0,1097,3,0,0,2,392,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,Unf,TA,
8532,74.0,1297,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,TA
7922,68.0,1057,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,Gd,TA,TA,No,GLQ,Gd,
6040,65.0,0,2,0,0,0,0,0,0,RL,Norm,GasA,Pave,N,PConc,TA,TA,,,,,Fa,
8658,84.0,1088,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,TA
16905,115.0,1350,2,2,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,Gd,TA,TA,Gd,BLQ,TA,Gd
9180,,840,2,0,0,2,240,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Av,ALQ,Gd,
9200,,938,3,0,0,1,145,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Av,LwQ,TA,
7945,70.0,1150,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,
7658,61.0,1752,2,1,0,2,196,0,1,RL,Norm,GasA,Pave,Y,PConc,Ex,TA,Ex,TA,No,GLQ,Ex,Gd
12822,48.0,1434,1,1,0,2,168,198,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,No,GLQ,Gd,Ex
11096,84.0,1656,3,0,0,3,0,0,0,FV,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Av,GLQ,Gd,
4456,33.0,736,2,0,0,0,0,0,0,RM,Norm,GasA,Pave,Y,BrkTil,TA,TA,TA,TA,No,Unf,TA,
7742,66.0,955,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,BLQ,TA,
13869,,794,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,Av,GLQ,TA,
6240,52.0,816,3,1,0,2,112,0,0,RM,Norm,GasA,Pave,Y,PConc,TA,TA,TA,TA,No,Unf,TA,Gd
8472,110.0,816,2,0,0,2,106,0,0,RM,RRNn,GasA,Grvl,N,CBlock,Fa,TA,Gd,TA,Gd,LwQ,TA,
50271,68.0,1842,0,1,0,3,857,0,1,RL,Norm,GasA,Pave,Y,CBlock,Gd,TA,Ex,TA,Gd,GLQ,Gd,Gd
7134,60.0,384,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,TA
10175,100.0,1425,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,BLQ,TA,Gd
2645,24.0,970,3,0,0,2,115,0,0,FV,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,GLQ,Gd,
11645,89.0,860,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,Unf,Gd,
13682,66.0,1410,3,1,0,3,192,0,1,RL,Norm,GasA,Pave,Y,PConc,Ex,TA,Ex,TA,Gd,Unf,Gd,Gd
7200,60.0,780,2,0,0,1,196,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,Av,ALQ,TA,
13072,63.0,1158,3,0,0,2,0,0,0,RL,RRAe,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,ALQ,Gd,
7200,60.0,530,3,0,0,1,0,0,0,RM,Norm,GasA,Pave,N,BrkTil,TA,TA,TA,Fa,No,Unf,Fa,
6442,44.0,1370,2,1,0,2,120,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,Gd,Mn,GLQ,Gd,Gd
10300,50.0,576,3,0,0,2,12,0,0,RM,RRAn,GasA,Pave,Y,BrkTil,TA,TA,TA,TA,No,Unf,TA,
9375,,1057,3,0,0,2,576,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,GLQ,Gd,
9591,76.0,1143,4,1,0,3,192,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,Unf,Gd,Gd
19900,,1947,3,1,0,2,301,0,0,RL,PosA,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Gd,GLQ,TA,Gd
10665,72.0,1453,3,0,0,2,144,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Av,GLQ,Gd,
4608,47.0,747,2,0,0,1,0,0,0,RM,Artery,GasA,Pave,Y,CBlock,TA,Gd,TA,TA,No,Unf,TA,
15593,81.0,1304,3,1,0,2,0,0,0,RL,Norm,GasW,Pave,Y,CBlock,Gd,TA,TA,TA,No,BLQ,TA,TA
13651,95.0,2223,3,2,0,2,300,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,Gd,Gd,TA,Gd,ALQ,TA,Gd
7599,69.0,845,2,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,
10141,74.0,832,3,1,0,2,0,291,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,Unf,TA,TA
10200,85.0,1086,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,
5790,60.0,840,3,0,0,1,0,0,0,RM,Norm,GasA,Pave,N,CBlock,Gd,Gd,Fa,TA,No,Unf,TA,
1596,21.0,462,2,0,0,1,120,0,0,RM,Norm,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Gd,GLQ,TA,
8475,,952,2,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,
8635,50.0,672,2,0,0,1,0,0,0,RM,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,BLQ,TA,
10778,72.0,1768,4,0,0,0,0,0,0,RL,Norm,GasA,Pave,N,CBlock,TA,TA,TA,TA,No,Unf,TA,
10440,60.0,440,2,0,0,2,74,0,0,RM,Norm,GasA,Pave,Y,PConc,TA,TA,TA,TA,No,Unf,TA,
13000,100.0,896,4,1,0,1,0,252,0,RL,Norm,GasA,Pave,Y,CBlock,TA,Gd,Gd,TA,No,Rec,Gd,Gd
4500,32.0,1237,2,0,0,2,0,0,0,RM,Norm,GasA,Pave,Y,PConc,TA,Gd,Ex,Gd,No,GLQ,TA,
10206,78.0,1563,3,1,0,3,144,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,GLQ,Gd,Gd
8892,80.0,1065,3,0,0,2,74,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Unf,TA,
8530,,384,3,1,0,2,120,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,Unf,TA,TA
16059,121.0,1288,4,1,0,2,127,0,1,RL,Norm,GasA,Pave,Y,CBlock,Gd,TA,Gd,TA,No,Unf,Gd,TA
11911,122.0,684,3,1,0,2,100,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Av,Unf,Gd,Gd
3951,40.0,612,2,0,0,2,0,0,0,FV,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Av,Unf,Gd,
8470,105.0,1013,2,0,0,0,0,0,0,C (all),Feedr,GasA,Pave,N,CBlock,Fa,Fa,TA,Fa,No,Unf,Fa,
8070,60.0,990,3,0,0,0,0,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,GLQ,TA,
7200,60.0,0,2,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,Slab,TA,TA,,,,,TA,
8500,85.0,1235,2,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,
13360,80.0,876,2,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,BrkTil,TA,Gd,Gd,TA,No,ALQ,TA,
7200,60.0,1214,4,1,0,2,0,99,0,C (all),Norm,GasW,Pave,N,BrkTil,TA,TA,TA,Fa,Mn,Rec,TA,Gd
9337,69.0,824,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,Gd,Gd,TA,No,GLQ,Gd,
9765,,680,3,1,0,2,232,0,0,RL,Norm,GasA,Pave,Y,PConc,Ex,Gd,Gd,Gd,No,ALQ,TA,TA
10264,78.0,1588,3,0,0,2,158,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Av,ALQ,Gd,
10921,73.0,960,3,0,0,1,120,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,
10625,85.0,458,2,0,0,1,0,0,0,RL,Norm,GasA,Pave,N,BrkTil,TA,TA,TA,TA,No,ALQ,TA,
9320,77.0,950,3,0,0,0,352,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,
10603,,1610,3,2,0,2,168,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,TA,TA,Mn,ALQ,Gd,TA
9206,77.0,741,3,1,0,2,192,0,0,RL,Norm,GasA,Pave,Y,CBlock,Gd,TA,Gd,TA,No,Unf,Gd,TA
7018,64.0,0,4,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,Slab,TA,Fa,,,,,TA,
10402,94.0,1226,3,0,0,3,0,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,Unf,Gd,
7758,,1040,4,2,0,1,0,184,0,RM,Norm,GasA,Pave,Y,PConc,TA,Fa,TA,TA,No,LwQ,TA,TA
9375,75.0,1053,3,1,0,2,140,0,0,FV,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,No,Unf,Gd,Gd
10800,60.0,641,2,0,0,1,0,0,0,RM,Norm,GasA,Pave,Y,BrkTil,TA,TA,Fa,TA,No,Unf,TA,
6000,50.0,789,2,0,0,1,0,0,0,RM,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,
8500,85.0,793,3,0,0,0,0,0,0,RM,Artery,GasW,Pave,N,CBlock,TA,TA,TA,TA,No,Unf,Fa,
11751,105.0,1844,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,No,BLQ,TA,TA
9525,75.0,994,4,0,0,1,182,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,Fa,No,Rec,TA,
7750,,384,3,1,0,2,180,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,GLQ,TA,TA
9965,77.0,1264,4,1,0,3,120,168,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,GLQ,Ex,Gd
21000,,1809,3,2,0,2,166,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,Gd,Gd,TA,Mn,ALQ,Gd,Gd
7259,61.0,1028,3,1,0,1,224,0,1,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,Gd,TA
3230,34.0,729,2,1,0,2,0,0,0,FV,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,GLQ,TA,Fa
11616,,1092,3,1,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,LwQ,TA,Po
8536,74.0,1125,2,0,0,2,80,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,Unf,TA,
12376,90.0,1673,5,2,0,3,367,0,1,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,Mn,GLQ,Gd,TA
8461,65.0,728,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,Unf,Gd,Gd
21453,,938,1,2,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,Gd,ALQ,TA,TA
6060,50.0,732,3,0,0,1,0,0,0,RM,Norm,GasA,Pave,Y,PConc,TA,TA,TA,TA,No,Unf,TA,
9464,75.0,1080,3,0,0,1,0,130,0,RL,Norm,GasA,Pave,Y,CBlock,TA,Gd,TA,TA,No,BLQ,TA,
7892,55.0,1199,2,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,GLQ,Gd,
17043,48.0,1362,3,1,0,2,192,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,Gd,Gd,Fa,No,Unf,TA,TA
6780,60.0,520,2,0,0,0,53,0,0,RM,Norm,GasA,Pave,N,CBlock,TA,Fa,TA,TA,Av,GLQ,TA,
4928,,1078,2,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,No,ALQ,TA,TA
4388,55.0,672,3,1,0,0,0,0,0,RM,Feedr,GasA,Pave,Y,BrkTil,TA,Gd,TA,TA,No,LwQ,TA,TA
7590,69.0,660,3,1,0,2,188,0,0,RL,PosN,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,BLQ,TA,Fa
8973,69.0,1008,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,Ex,
14200,88.0,924,4,2,0,2,105,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,Gd,Gd
12224,,992,3,1,0,2,24,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,GLQ,Gd,TA
7388,75.0,1063,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,Gd,
6853,,1267,2,0,0,2,192,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,No,GLQ,Gd,
10335,78.0,1461,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,TA
10400,80.0,1304,3,1,0,2,98,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,TA,TA,No,Unf,TA,Gd
10355,,1214,3,1,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,BLQ,TA,Fa
11070,82.0,1907,5,0,0,3,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Unf,TA,
9066,73.0,1004,3,2,0,3,224,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Mn,GLQ,Gd,TA
15426,65.0,928,3,0,0,2,276,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,GLQ,Gd,
10500,70.0,864,3,1,0,0,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,Po
11645,78.0,1734,3,0,0,2,160,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Av,GLQ,Gd,
8520,71.0,910,4,0,0,2,0,0,0,RL,Artery,GasA,Pave,Y,CBlock,TA,Fa,TA,TA,No,Rec,TA,
10335,78.0,1490,3,0,0,2,144,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Gd,GLQ,Gd,
9100,70.0,1728,6,0,0,2,0,0,0,RM,RRAe,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,
2522,24.0,970,3,0,0,2,0,0,0,RM,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,Unf,Gd,
6120,51.0,715,2,0,0,1,48,0,0,RM,Norm,GasA,Pave,Y,BrkTil,TA,TA,TA,TA,No,BLQ,TA,
9505,,884,3,1,0,2,144,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,Unf,Gd,Gd
7500,63.0,1080,3,0,0,0,0,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,GLQ,Gd,
6240,,896,3,0,0,1,200,0,0,RM,Norm,GasA,Pave,Y,BrkTil,TA,TA,Gd,TA,No,Unf,TA,
10356,120.0,969,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,Av,BLQ,TA,
13891,107.0,1710,2,1,0,3,0,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Gd,GLQ,Gd,Gd
14803,,825,4,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,Gd
13500,,1602,1,1,0,2,409,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Gd,BLQ,TA,Gd
11340,84.0,1200,4,0,0,1,0,0,0,RM,Norm,GasA,Pave,Y,BrkTil,TA,TA,TA,TA,No,Unf,TA,
9600,60.0,572,2,0,0,0,0,0,0,RL,Artery,Grav,Pave,N,BrkTil,TA,TA,TA,TA,No,Unf,TA,
7200,60.0,0,2,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,,,,,TA,
12003,92.0,774,4,1,0,3,0,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,No,Unf,Ex,Gd
12552,100.0,991,3,1,0,2,0,0,1,FV,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,GLQ,Gd,Gd
19378,134.0,1392,4,1,0,2,239,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Mn,GLQ,Gd,Gd
11120,,1232,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,BLQ,TA,
13688,110.0,1572,3,2,0,3,400,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,GLQ,Ex,Gd
12182,95.0,1541,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Mn,BLQ,Gd,Gd
5500,55.0,882,1,0,0,0,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Unf,TA,
5400,40.0,1149,3,0,0,1,0,0,0,RM,Norm,GasA,Pave,Y,BrkTil,TA,Gd,TA,TA,Mn,LwQ,Gd,
10106,62.0,644,4,0,0,0,140,0,0,RL,Norm,GasA,Pave,Y,BrkTil,TA,Gd,TA,TA,No,ALQ,TA,
10708,,1617,2,3,0,1,476,142,0,RL,Norm,GasA,Pave,Y,CBlock,Gd,TA,TA,TA,No,LwQ,TA,Gd
10562,86.0,1582,3,1,0,3,178,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,No,GLQ,Ex,Gd
8244,62.0,840,3,1,0,2,100,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,Unf,Gd,Gd
16669,,1686,2,1,0,2,574,0,0,RL,Norm,GasA,Pave,Y,CBlock,Gd,TA,Gd,TA,No,Unf,TA,TA
12358,,720,2,0,0,2,237,0,0,RM,Feedr,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,
31770,141.0,1080,3,2,0,2,210,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,Gd,Gd,BLQ,TA,Gd
5306,44.0,1064,2,1,0,2,441,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,Gd,Gd,Gd,No,GLQ,Gd,TA
10197,80.0,1362,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,TA
12416,47.0,1606,3,1,0,2,192,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,Gd,Fa,No,ALQ,TA,TA
12615,84.0,1202,4,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,Gd,Av,ALQ,Gd,Gd
10029,97.0,1151,4,1,0,2,0,192,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,GLQ,TA,TA
13650,,1052,4,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,Gd,Gd,TA,TA,No,ALQ,Gd,Gd
17423,63.0,2216,1,1,0,3,0,0,1,RL,Norm,GasA,Pave,Y,PConc,Ex,TA,Ex,TA,No,GLQ,Ex,Gd
8520,60.0,968,2,0,0,2,0,0,0,RM,Norm,GasA,Pave,Y,CBlock,Gd,TA,TA,TA,No,Unf,TA,
2117,,756,3,1,0,2,0,0,0,FV,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,GLQ,Gd,TA
7588,54.0,793,4,1,0,1,0,0,0,RL,Norm,GasA,Pave,Y,BrkTil,TA,TA,Fa,TA,No,LwQ,TA,Gd
9060,60.0,0,3,1,0,1,116,0,0,RL,Artery,GasA,Pave,Y,PConc,TA,TA,,,,,TA,Gd
11426,63.0,1362,3,0,0,2,280,0,0,RM,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,No,Unf,Gd,
7438,92.0,504,3,0,0,2,104,0,0,RL,RRAn,GasA,Pave,Y,PConc,TA,TA,Fa,TA,No,Unf,TA,
22950,90.0,1107,4,2,0,3,0,410,1,RM,Artery,GasA,Pave,Y,BrkTil,Gd,Gd,TA,TA,Mn,Unf,Ex,TA
9947,,1188,3,0,0,2,168,0,0,RL,Norm,GasA,Pave,Y,PConc,TA,TA,Gd,TA,Av,GLQ,Gd,
10410,60.0,660,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,Fa,TA,No,Unf,TA,
7018,64.0,1086,2,2,0,2,120,0,0,RL,Feedr,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Av,GLQ,TA,TA
4923,41.0,1593,0,1,0,2,0,224,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,GLQ,Ex,Gd
10570,70.0,853,3,2,0,2,0,0,1,RL,Norm,GasA,Pave,Y,CBlock,Gd,TA,Gd,Gd,No,Rec,Gd,TA
